date,MTN US Equity,RACE IM Equity,QSR US Equity,PYPL US Equity,CRM US Equity,MSFT US Equity,DG US Equity,NYT US Equity,LYV US Equity,FND US Equity,CMG US Equity,EXPE US Equity,6758 JP Equity,ETSY US Equity,ADBE US Equity,PLNT US Equity,PLAN US Equity,AYX US Equity,V US Equity,NOW US Equity,SAIL US Equity,CFR SW Equity,ADS GR Equity,MA US Equity,CHTR US Equity,BBWI US Equity,VIV FP Equity,COUP US Equity,Z US Equity,ABNB US Equity,SQ TB Equity,NEWR US Equity,LW US Equity,CXM US Equity,AENA SM Equity,FDC US Equity,BKNG US Equity,OKTA US Equity,AMZN US Equity,WP US Equity,PHIA NA Equity,RAMP US Equity,BURL US Equity,SPLK US Equity,DPZ US Equity,EL FP Equity,DIS US Equity,BILL US Equity,ORLY US Equity,STZ US Equity,EVD GR Equity,GO US Equity,MCD US Equity,NFLX US Equity,TTWO US Equity,INTU US Equity,WLN FP Equity,SNAP US Equity,GOOGL US Equity,DATA US Equity,RH US Equity,MC FP Equity,7974 JP Equity,DLTR US Equity,ZEN US Equity,BBY US Equity,SHOP US Equity,EL US Equity,GLBE US Equity
1/1/2018,212.47,87.45,61.48,73.62,102.23,85.54,93.01,18.5,42.57,48.68,5.7806,119.77,1016.6,20.45,175.24,34.63,#N/A,25.27,114.02,130.39,#N/A,88.3,167.15,151.36,335.96,48.66884048,1.444992799,31.22,40.92,#N/A,4.82,57.77,56.45,#N/A,16.9,16.71,1737.74,25.61,58.4735,73.55,28.6136799,27.56,123.03,82.84,188.96,114.95,107.51,#N/A,16.036,228.57,38.825,#N/A,172.12,191.96,109.78,157.78,40.67,14.61,52.67,69.2,86.21,245.4,4119,107.31,33.84,68.47,10.1,127.24,#N/A
2/1/2018,224.54,103.2,60.19,78.4,112.74,94.26,102.28,23.8,45.97,47.46,6.2944,129.11,1077,19.16,199.38,33.97,#N/A,28.22,125.72,152.81,#N/A,89.92,182.9,172.93,371.18,39.8838804,1.509443861,38.93,44.7,#N/A,4.78,59.88,57.4,#N/A,17.5,17.66,1903.69,29.86,69.5,79.8,29.72955898,27.16,121.45,92.35,218.67,112.35,110.49,#N/A,17.492,220.69,40.6,#N/A,171.9,265.07,124.64,165.65,44.9,13.92,59.0795,77.09,92.25,252.15,4822,113.87,38.83,73.1,12.628,134.56,#N/A
3/1/2018,207.47,100.7,58.41,78.64,119.43,92.85,95.31,23.95,42.09,44.16,6.2652,103.96,1060.4,25.32,206.03,37.35,#N/A,34.8,120.4,159.57,#N/A,81.72,174.85,173.49,339.41,34.33973816,1.334781484,44.28,47.96,#N/A,4.48,72.05,54.46,#N/A,17.115,15.4,2028.37,36.4,74.6725,81.51,28.44130833,27.5,121.76,93.64,222.82,113.1,102.57,#N/A,16.21733333,215.95,39.08,#N/A,155.7,290.39,107.54,164.34,41.76,17.21,53.5705,81.48,84.78,244.1,4819,104.09,42.68,75.3,13.685,138.54,#N/A
4/1/2018,221.7,97.54,56.92,75.87,116.3,91.27,93.55,24.1,42.14,52.12,6.4622,110.41,1029.2,28.06,216.08,37.77,#N/A,34.14,119.62,165.45,#N/A,85.76,198.1,175.16,311.22,30.88071064,1.353472292,45.62,53.8,#N/A,3.64,74.12,58.22,#N/A,16.365,16,2080.39,39.85,72.367,82.24,28.27347286,22.71,133.15,98.39,233.56,109.6,100.44,#N/A,16.492,227.92,38.06,#N/A,156.38,295.35,97.78,173.35,41.26,15.87,51.857,80.82,95.28,250.2,4686,94.9,47.87,69.99,12.459,149.72,#N/A
5/1/2018,225.7,102.05,54.03,74.81,123.11,95,96.54,22.93,39.75,55.39,8.5202,113.5,1014.6,30.32,224.08,40.37,#N/A,32.99,127.51,165.42,#N/A,94.56,203.2,180.25,279.4,27.73687488,1.410833736,47.01,49.72,#N/A,3.46,70.33,64.97,#N/A,17.11,18.24,2179.39,43.44,79.113,81.62,31.94317277,26.17,135.37,103.19,247.68,113.05,100.06,#N/A,17.25066667,229.68,38.84,#N/A,163.44,313.3,104.3,187.24,41.78,14.13,52.0375,84.78,95.65,289.3,4616,95.93,48.58,75.38,12.768,144.93,#N/A
6/1/2018,245.46,113.6,59.19,83.25,130.52,100.79,89.26,23,43.57,48.53,8.7724,120.02,1032.4,31.62,251.31,39.96,#N/A,35.13,130.85,181.51,#N/A,91.26,193.75,195.37,261.87,27.93892088,1.399877056,54.07,59.03,#N/A,3.1,103.78,64.11,#N/A,16.25,19.05,2128.94,57.35,82.077,79.64,32.18358575,29.28,149.97,113.95,252.85,117.35,99.36,#N/A,18.16533333,222.75,41.66,#N/A,159.16,359.93,114.59,204.08,49.64,11.63,56.75,98.53,98.27,301.9,4320,81.28,56.84,68.85,15.08,148.4,#N/A
7/1/2018,274.19,116.5,60.3,83.27,136.4,98.61,98.6,25.9,48.57,49.33,8.6274,120.19,1132.8,42.19,243.81,43.94,#N/A,38.16,132.45,172.47,#N/A,84.12,186.7,196.52,293.21,29.80582592,1.353472292,62.24,59.06,#N/A,2.54,100.59,68.51,#N/A,15.55,20.93,2027.09,50.37,84.99,81.78,33.04544357,29.95,150.53,99.11,282.17,120.9,104.81,#N/A,18.238,218.87,42.28,#N/A,156.69,391.43,118.36,204.305,48.52,13.09,56.4595,97.75,139.7,285.2,3620,85,54.49,74.58,14.589,142.69,#N/A
8/1/2018,278.69,104.3,63.91,83.46,137.68,106.28,96.65,24.55,49.12,47.71,8.8526,133.73,1221,41.2,248.01,48.02,#N/A,41.23,138.25,177.94,#N/A,87,188.15,201.2,301.43,25.32040472,1.427591012,62.11,56.68,#N/A,3.06,100.38,69.7,#N/A,15.41,23.28,2023.13,52.01,89.8585,81.74,34.06606469,40.47,151.08,99.11,270.34,126,112.97,#N/A,20.18,208.46,39.86,#N/A,156.92,338.38,112.24,204.26,50.15,12.38,61.6495,106.14,132.45,298.45,3910,89.89,61.04,74.88,13.636,134.43,#N/A
9/1/2018,298.05,112.7,57.4,92.33,152.68,112.33,107.73,23.3,49.68,36.76,9.5036,130.5,1269.6,48.69,263.51,51.37,#N/A,58.05,146.89,196.36,#N/A,85.7,214.5,215.56,310.4,21.36030312,1.440481225,71.71,48.65,#N/A,3.12,102.76,67.6,#N/A,15.25,25.72,1951.55,61.83,100.6355,97.39,34.91885033,45.69,168.18,128.15,298.56,124.3,112.02,#N/A,22.36133333,208.2,38.08,#N/A,162.23,367.68,133.56,219.47,52.4,10.9,61.59,111.86,159,301.85,4016,80.51,68.89,79.56,14.567,140.12,#N/A
10/1/2018,265.66,119.25,58.84,87.55,159.86,115.61,109.52,22.74,54.1,30.49,8.9394,130.32,1375.8,49.96,275.49,53.53,#N/A,56.77,150.79,194.61,#N/A,81.28,213.2,223.77,321.59,24.49605704,1.427591012,76.73,42.3,#N/A,2.92,90.79,65.94,#N/A,14.72,24.15,1989.21,71.82,100.218,100.38,35.99390457,48.48,159.4,117.56,285.52,128.75,116.24,#N/A,23.052,213.32,38.22,#N/A,166.67,381.43,137.41,227.72,55.7,8.36,60.4265,111.31,127,306.9,4204,82.22,69.2,79.01,16.342,145.78,#N/A
