date,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
1/1/2018,MTN US Equity,RACE IM Equity,ADBE US Equity,ADS GR Equity,VIV FP Equity,QSR US Equity,ETSY US Equity,WP US Equity,AENA SM Equity,V US Equity,PHIA NA Equity,MCD US Equity,PYPL US Equity,LW US Equity,7974 JP Equity
2/1/2018,RACE IM Equity,ETSY US Equity,ADBE US Equity,QSR US Equity,ADS GR Equity,MTN US Equity,PYPL US Equity,WP US Equity,AENA SM Equity,PHIA NA Equity,VIV FP Equity,STZ US Equity,TTWO US Equity,LW US Equity,V US Equity
3/1/2018,RACE IM Equity,ETSY US Equity,ADBE US Equity,QSR US Equity,ADS GR Equity,PYPL US Equity,MTN US Equity,AENA SM Equity,PHIA NA Equity,V US Equity,LW US Equity,STZ US Equity,VIV FP Equity,WP US Equity,TTWO US Equity
4/1/2018,RACE IM Equity,ETSY US Equity,ADBE US Equity,QSR US Equity,PYPL US Equity,MTN US Equity,AENA SM Equity,PHIA NA Equity,V US Equity,ADS GR Equity,STZ US Equity,WP US Equity,LW US Equity,PLNT US Equity,TTWO US Equity
5/1/2018,RACE IM Equity,ADBE US Equity,QSR US Equity,ETSY US Equity,PYPL US Equity,MTN US Equity,V US Equity,PLNT US Equity,PHIA NA Equity,AENA SM Equity,ADS GR Equity,MA US Equity,INTU US Equity,WP US Equity,DATA US Equity
6/1/2018,RACE IM Equity,QSR US Equity,ADBE US Equity,ETSY US Equity,MTN US Equity,PYPL US Equity,V US Equity,PHIA NA Equity,PLNT US Equity,MA US Equity,ADS GR Equity,AYX US Equity,WLN FP Equity,DATA US Equity,WP US Equity
7/1/2018,QSR US Equity,MTN US Equity,ETSY US Equity,ADBE US Equity,PYPL US Equity,RACE IM Equity,FDC US Equity,MA US Equity,V US Equity,PLNT US Equity,CRM US Equity,PHIA NA Equity,ADS GR Equity,AYX US Equity,DLTR US Equity
8/1/2018,PYPL US Equity,MTN US Equity,ADBE US Equity,RACE IM Equity,ETSY US Equity,V US Equity,QSR US Equity,FDC US Equity,CHTR US Equity,CRM US Equity,PLNT US Equity,ADS GR Equity,MA US Equity,PHIA NA Equity,DIS US Equity
9/1/2018,RACE IM Equity,MTN US Equity,QSR US Equity,ADBE US Equity,PYPL US Equity,V US Equity,FDC US Equity,PLNT US Equity,ETSY US Equity,CHTR US Equity,CRM US Equity,ADS GR Equity,MA US Equity,DIS US Equity,WP US Equity
10/1/2018,MTN US Equity,RACE IM Equity,ADBE US Equity,PYPL US Equity,V US Equity,QSR US Equity,CHTR US Equity,PLNT US Equity,ETSY US Equity,FDC US Equity,CRM US Equity,MA US Equity,RAMP US Equity,WP US Equity,DIS US Equity
11/1/2018,MTN US Equity,RACE IM Equity,PYPL US Equity,ADBE US Equity,QSR US Equity,V US Equity,CHTR US Equity,PLNT US Equity,CRM US Equity,MSFT US Equity,WP US Equity,RAMP US Equity,MA US Equity,FDC US Equity,ZEN US Equity
